영문 컬럼명,한글 컬럼명,컬럼 타입,컬럼 길이,NULL 여부
ELCTC_DTM,충전_일시,VARCHAR2,19,True
CHRSTN_ID,충전소_ID,VARCHAR2,20,True
CHRGR_ID,충전기_ID,VARCHAR2,20,True
CTPR_CD,시도_코드,VARCHAR,10,True
SIGNGU_CD,시군구_코드,VARCHAR,5,True
CTPR_NM,시도_명,VARCHAR2,50,True
SIGNGU_NM,시군구_명,VARCHAR2,50,True
CHRSTN_NM,충전소_명,VARCHAR2,50,True
LA,위도,NUMBER,1310,False
LO,경도,NUMBER,1310,False
ELCTC_DV,충전_구분,VARCHAR,50,False
ELCTC_MTHD,충전_방식,VARCHAR,50,False
STRT_DTM,시작_일시,VARCHAR2,19,True
END_DTM,종료_일시,VARCHAR2,19,False
STRT_SOC,시작_SOC,NUMBER,11,True
END_SOC,종료_SOC,NUMBER,11,False
SOC_ELCTC_QTY,SOC_충전_량,NUMBER,11,True
PWRER_USQNT,전력_사용량,NUMBER,11,True
ELCTC_TM,충전_시간,NUMBER,11,True
PWRER_USQNT_LLD,전력_사용량_(경부하),NUMBER,11,True
PWRER_USQNT_MILD,전력_사용량_(중간부하),NUMBER,11,True
PWRER_USQNT_MXLD,전력_사용량_(최대부하),NUMBER,11,True
RM,비고,VARCHAR2,1000,True
PRDCT_DTM,생산_일시,DATE,,True
